epoch,accuracy,loss
0,0.011265282,7.780983001
1,0.020021554,7.083393939
2,0.031084767,6.78190414
3,0.03765197,6.580948281
4,0.04652612,6.400987141
5,0.05561917,6.21957358
6,0.06398814,6.054919736
7,0.06845047,5.903639332
8,0.07508504,5.752029823
9,0.082207926,5.607112084
10,0.0882868,5.465338205
11,0.09490452,5.324774119
12,0.103526086,5.189442744
13,0.116189,5.055016884
14,0.13141145,4.92713047
15,0.14769474,4.801915451
16,0.16377598,4.678186296
17,0.18164214,4.562087343
18,0.19627522,4.449501576
19,0.21405719,4.342122144
20,0.22704004,4.241216428
21,0.24148789,4.144418846
22,0.2544539,4.058175398
23,0.2680935,3.971777955
24,0.28158152,3.888372599
25,0.29219007,3.814690107
26,0.30483615,3.747088365
27,0.31433335,3.67858087
28,0.3245883,3.615839113
29,0.33558413,3.551964123
30,0.34440777,3.497893866
31,0.3550837,3.445519987
32,0.36348635,3.392446217
33,0.37372446,3.338666623
34,0.38037583,3.291480988
35,0.39056343,3.24387387
36,0.3977537,3.19744906
37,0.40341157,3.157064989
38,0.40891793,3.122103988
39,0.41730374,3.083784736
40,0.4247971,3.045727195
41,0.4298993,3.009902701
42,0.43794835,2.972974024
43,0.44039,2.946855488
44,0.4450207,2.925701984
45,0.45428216,2.886314146
46,0.45845821,2.856132497
47,0.4627185,2.827528983
48,0.4664399,2.804799231
49,0.4713569,2.778163414
50,0.47765467,2.75165156
51,0.4807362,2.726121175
52,0.48383456,2.710603145
53,0.48757282,2.688488639
54,0.4907554,2.672220549
55,0.49504933,2.646839953
56,0.5015155,2.623836055
57,0.5030479,2.607932677
58,0.50550634,2.590783869
59,0.51193887,2.569473679
60,0.5110969,2.557771879
61,0.5111811,2.558525434
62,0.51513827,2.533979681
63,0.521335,2.507883809
64,0.52709395,2.486693573
65,0.5260667,2.480338379
66,0.5299734,2.46449682
67,0.5324319,2.449272555
68,0.53389686,2.443091695
69,0.53630483,2.428361532
70,0.53802246,2.421065794
71,0.53975683,2.4091084
72,0.5392348,2.403049052
73,0.54401714,2.385243168
74,0.5459536,2.374343387
75,0.5503149,2.360321868
76,0.5504833,2.354489099
77,0.55080324,2.343933935
78,0.55551815,2.333143697
79,0.5557539,2.329319731
80,0.5588354,2.316721154
81,0.55676425,2.317591288
82,0.5562759,2.312451993
83,0.5559896,2.312384992
84,0.5619506,2.28953006
85,0.56472903,2.277362302
86,0.5659583,2.269172224
87,0.5686357,2.259088491
88,0.5680632,2.262244785
89,0.5685852,2.252560933
90,0.5697134,2.246440327
91,0.56996596,2.241297527
92,0.57309806,2.230802189
93,0.5743778,2.223069219
94,0.5754218,2.218834713
95,0.5761291,2.217740116
96,0.5737716,2.222717861
97,0.57730776,2.204175983
98,0.5805914,2.20139054
99,0.57798135,2.201799833
